19.56,100
18.49,100
21.79,100
22.81,100
22.66,100
20.78,100
17.94,100
26.34,100
20.93,100
21.32,100
24.54,100
17.26,100
26.63,100
15.32,100
20.54,100
16.61,100
18.18,100
19.20,100
17.13,100
17.58,100
25.83,100
19.53,90
15.29,100
16.98,100
23.45,100
18.05,100
17.57,100
19.89,95
21.65,100
26.98,100
17.60,100
14.87,90
15.01,95
19.21,100
18.81,100
15.40,100
24.96,100
17.21,100
17.83,100
16.04,100
18.38,95
23.33,100
15.71,100
14.44,100
25.82,100
17.12,100
16.05,95
12.76,100
19.26,95
23.82,100
20.29,100
13.77,90
21.22,100
15.37,100
15.77,100
20.13,100
15.18,95
19.74,100
16.25,100
16.29,100
19.61,100
16.54,100
21.20,100
15.34,100
16.53,100
16.59,100
16.15,100
17.71,100
20.24,100
15.18,100
19.20,100
19.67,100
17.99,100
14.87,95
14.17,100
16.12,100
17.83,100
18.40,100
19.57,95
14.53,100
14.28,100
20.10,100
19.50,100
15.46,95
14.34,100
18.69,100
17.06,100
16.29,100
19.47,100
14.12,100
21.65,90
22.95,100
17.25,100
16.28,100
21.27,100
32.02,100
25.41,95
